VV,VH,dark_spot_mask,dark_spot_magnitude,SAR_change_dB,new_spill_mask,chronic_spill_mask,NDVI,NDWI,NDMI,NDVI_change,lat,lon,risk_label,iso_anomaly,iso_score,iso_score_norm,xgb_prob_low,xgb_prob_medium,xgb_prob_high,xgb_pred,combined_risk_score,risk_tier
-7.208313199664268,-14.294656797419954,0,-0.0507246992326933,-0.1811370438860802,0,0,0.4253922998905182,-0.3915303349494934,0.0427256077527999,0.0858839154243469,5.142855001584261,6.580159456175495,0,0,-0.3760266839059101,0.046219588537522616,0.9886918,0.0075976322,0.0037105335,0,0.021158174258026862,LOW
-7.996632848936613,-14.936256144432594,0,0.1788664811841457,-0.3231147025217655,0,0,0.5923982262611389,-0.5420881509780884,0.0650145933032035,0.1626192927360534,5.142855001584261,6.625075220381471,0,0,-0.378969142953581,0.05292167049172014,0.99597615,0.00256261,0.0014612149,0,0.02215916677486396,LOW
-6.910041208914691,-14.082412702950224,0,-0.183724012419466,-0.0917320483120409,0,0,0.6751931309700012,-0.5907412171363831,0.209081694483757,0.0367416739463806,5.142855001584261,6.669990984587447,0,0,-0.38628981503815496,0.06959607223384723,0.9993005,0.00051486026,0.00018461388,0,0.027875534036376284,LOW
-8.358564000064145,-15.430070506097266,0,0.2970172748804248,-0.7827751048194926,0,0,0.4463986754417419,-0.5189093947410583,-0.0715053677558898,0.0648907721042633,5.142855001584261,6.714906748793423,1,0,-0.43777787860103634,0.1868711867114845,0.008178058,0.98706347,0.004758512,1,0.07820146698416544,LOW
-6.090776295274452,-14.646848261044386,0,-0.5610152527145282,-0.1292862045421818,0,0,0.6785290837287903,-0.6125355958938599,0.2099187523126602,0.0240260958671569,5.142855001584261,6.759822512999399,0,0,-0.42504221368876616,0.1578629767074078,0.9992231,0.00059605733,0.00018084362,0,0.06317948011751531,LOW
-7.611859223377176,-14.854336669266305,0,0.0260801244084512,0.0031694277587481,0,0,0.6905606985092163,-0.6222966909408569,0.1315062493085861,0.1545392274856567,5.142855001584261,6.804738277205376,0,0,-0.37350179672367184,0.04046861612080932,0.9987343,0.0008185813,0.00044712247,0,0.016420598732959892,LOW
-8.002114883896152,-14.496524733615669,0,-0.0851218272141017,0.1839487018123122,0,0,0.7489430904388428,-0.6813711524009705,0.1545727849006652,0.1560938358306884,5.142855001584261,6.849654041411351,0,0,-0.4108738851910577,0.12559156792746295,0.9987956,0.0007586746,0.00044562336,0,0.050468659918575166,LOW
-8.248413603405073,-14.452967602840443,0,0.0790498749656623,0.1494643883103954,0,0,0.5847151875495911,-0.6161764860153198,0.0036529577337205,0.1275100111961364,5.142855001584261,6.894569805617327,0,0,-0.3916328786910865,0.08176604636374596,0.9978515,0.0010317735,0.0011167345,0,0.033439651660668535,LOW
-7.4143175187810595,-15.032861039677371,0,-0.266792760585836,-0.4600764583384489,0,0,0.6576271057128906,-0.6229671239852905,0.1610545367002487,0.0245651602745056,5.142855001584261,6.939485569823304,0,0,-0.4082865410660629,0.11969833641990701,0.9963366,0.003230135,0.0004332348,0,0.04810211526605826,LOW
-6.611453167661342,-14.230095265647062,0,-0.5372843193117236,0.092994980016174,0,0,0.6902597546577454,-0.6258588433265686,0.0918624326586723,0.1944741904735565,5.142855001584261,6.984401334029279,0,0,-0.42670218749663247,0.16164392329728394,0.9986333,0.0008848751,0.00048174718,0,0.06491658008042415,LOW
